,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Total,Year
Cognizable,13808,13533,16062,16483,18855,18564,18658,17691,17739,13827,14835,15342,195397,2015
Murder,217,211,274,268,341,316,285,296,255,273,213,229,3178,2015
Dacoity,35,34,35,38,50,29,31,31,33,30,38,42,426,2015
Robbery,105,121,131,132,167,130,142,149,143,104,166,150,1640,2015
Burglary,306,322,317,323,429,362,378,388,404,371,500,418,4518,2015
Theft,1871,1908,1688,1764,1903,1916,1916,1980,1754,1540,1957,2264,22461,2015
Riots,866,750,1288,1155,1453,1497,1314,1149,945,906,1044,944,13311,2015
Kidnapping,516,561,619,660,702,611,620,641,576,479,525,617,7127,2015
Kid. for Ransom,4,6,4,11,7,4,4,2,6,6,1,3,58,2015
Rape,64,81,88,106,100,106,95,97,90,82,68,64,1041,2015
Road Dacoity,10,15,17,18,24,15,16,10,12,5,17,16,175,2015
Road Robbery,81,79,95,100,109,103,111,105,101,67,124,120,1195,2015
Bank Dacoity,1,0,0,0,1,2,0,1,0,0,1,3,9,2015
Bank Robbery,0,1,1,0,0,1,0,0,0,0,2,0,5,2015
Cognizable,15115,13244,16865,13154,15645,19335,19000,18442,16633,16277,16373,14941,195024,2014
Murder,247,211,312,281,341,373,304,317,258,282,242,235,3403,2014
Dacoity,52,51,41,40,44,55,58,41,24,33,43,56,538,2014
Robbery,120,127,123,93,146,195,147,142,136,120,128,123,1600,2014
Burglary,390,340,352,336,370,425,463,416,413,424,391,354,4674,2014
Theft,2153,1896,1895,1457,1701,1904,2033,1939,2013,1792,1926,2179,22888,2014
Riots,767,881,1251,971,1186,1548,1384,1203,1051,1181,1244,899,13566,2014
Kidnapping,424,429,524,484,538,630,601,520,466,758,676,520,6570,2014
Kid. for Ransom,6,5,3,4,4,10,8,9,4,4,4,1,62,2014
Rape,72,87,113,76,130,115,115,108,97,86,75,53,1127,2014
Road Dacoity,22,21,16,17,24,28,35,25,11,14,26,25,264,2014
Road Robbery,106,101,96,71,109,170,118,118,127,112,118,101,1347,2014
Bank Dacoity,0,2,0,1,0,0,1,0,1,1,1,2,9,2014
Bank Robbery,1,1,0,0,2,0,0,0,1,0,0,0,5,2014
Cognizable,11889,12031,15315,14845,16078,16640,17883,17047,16817,15170,15538,15708,184961,2013
Murder,217,225,357,261,341,313,317,299,298,274,300,239,3441,2013
Dacoity,39,45,52,50,47,53,55,59,46,53,33,47,579,2013
Robbery,117,105,115,118,106,138,146,141,153,133,114,135,1521,2013
Burglary,286,332,301,299,323,379,391,389,376,362,402,353,4193,2013
Theft,1785,1784,1866,1610,1698,1751,2248,1700,1745,1732,1647,1924,21490,2013
Riots,688,640,1175,988,1028,1241,1206,1087,1060,836,1043,939,11931,2013
Kidnapping,369,392,419,551,552,515,548,481,509,358,399,413,5506,2013
Kid. for Ransom,8,2,5,2,6,5,12,7,9,6,5,3,70,2013
Rape,66,75,87,123,131,102,97,81,117,93,80,76,1128,2013
Road Dacoity,9,14,18,24,22,28,36,32,17,17,9,14,240,2013
Road Robbery,94,87,105,97,93,123,120,111,134,112,88,117,1281,2013
Bank Dacoity,3,0,2,1,1,0,0,1,1,0,0,0,9,2013
Bank Robbery,0,1,1,0,0,0,1,0,0,0,0,0,3,2013
Cognizable,11554,11354,13269,13818,15308,14460,14425,14079,13714,13314,12473,12503,160271,2012
Murder,227,238,316,344,360,380,317,303,300,291,261,229,3566,2012
Dacoity,56,43,47,40,54,40,45,39,32,48,40,56,540,2012
Robbery,85,93,118,104,110,111,127,98,109,120,93,98,1266,2012
Burglary,291,261,270,269,285,372,307,323,344,353,361,322,3758,2012
Theft,1565,1445,1451,1359,1322,1285,1482,1481,1532,1485,1514,1746,17667,2012
Riots,677,657,1126,977,1233,1017,995,969,814,801,931,674,10871,2012
Kidnapping,345,386,420,475,452,468,408,402,407,342,305,326,4737,2012
Kid. for Ransom,7,5,8,9,7,3,5,6,5,6,5,5,70,2012
Rape,76,74,85,96,75,87,69,91,101,69,49,55,927,2012
Road Dacoity,26,16,24,12,20,12,11,12,7,18,12,21,191,2012
Road Robbery,66,79,95,89,98,101,108,87,94,104,82,78,1081,2012
Bank Dacoity,1,1,0,0,2,0,0,0,0,0,1,0,5,2012
Bank Robbery,0,0,2,1,1,1,0,0,0,1,0,0,6,2012
Cognizable,10118,10276,12398,11497,12553,13787,13338,13022,12778,13584,12524,11758,147633,2011
Murder,219,282,256,225,297,322,307,284,273,267,247,219,3198,2011
Dacoity,52,47,53,46,52,43,44,38,48,44,39,50,556,2011
Robbery,107,120,102,95,141,128,117,111,113,114,113,120,1381,2011
Burglary,286,265,265,263,283,346,298,304,289,357,365,308,3629,2011
Theft,1522,1253,1357,1113,1193,1395,1362,1303,1324,1425,1403,1642,16292,2011
Riots,532,569,856,851,1201,982,880,813,751,852,782,699,9768,2011
Kidnapping,253,312,376,339,304,437,401,352,391,348,364,334,4211,2011
Kid. for Ransom,5,7,2,4,2,7,7,4,4,5,4,6,57,2011
Rape,56,71,83,57,84,92,99,68,93,81,84,66,934,2011
Road Dacoity,17,17,17,15,19,17,22,17,18,14,10,11,194,2011
Road Robbery,72,77,68,57,98,91,93,97,94,93,102,101,1043,2011
Bank Dacoity,2,2,1,0,1,0,0,0,0,1,3,1,11,2011
Bank Robbery,0,0,0,1,2,0,1,1,0,1,0,4,10,2011
Cognizable,9393,9818,11985,12274,13709,13182,12613,11639,11745,10245,9743,11226,137572,2010
Murder,228,207,255,296,348,345,316,300,276,236,261,293,3361,2010
Dacoity,52,59,57,50,49,48,59,52,55,33,65,65,644,2010
Robbery,123,146,117,152,137,156,143,139,121,77,99,128,1538,2010
Burglary,265,243,238,269,275,306,288,316,274,291,380,292,3437,2010
Theft,1543,1416,1237,1168,1268,1235,1227,1287,1290,1097,1233,1543,15544,2010
Riots,517,607,1069,878,939,882,839,755,589,500,614,620,8809,2010
Kidnapping,224,287,296,344,385,339,345,295,282,241,241,320,3599,2010
Kid. for Ransom,8,5,6,8,9,5,6,8,5,2,8,11,81,2010
Rape,52,58,66,72,81,80,81,74,86,47,45,53,795,2010
Road Dacoity,11,16,19,15,23,18,27,18,20,7,16,17,207,2010
Road Robbery,86,85,83,111,95,118,97,88,80,54,73,81,1051,2010
Bank Dacoity,4,0,1,1,0,0,0,0,1,0,1,1,9,2010
Bank Robbery,0,0,0,0,0,0,0,0,0,0,1,1,2,2010
Cognizable,15160,15050,15835,14279,16208,17507,16065,16952,15432,16153,NA,NA,158641,2016
Murder,200,220,258,192,209,219,206,228,209,233,NA,NA,2174,2016
Dacoity,34,33,34,23,25,35,21,30,28,25,NA,NA,288,2016
Robbery,129,126,119,100,154,137,121,122,120,116,NA,NA,1244,2016
Burglary,337,331,345,346,342,421,425,405,372,435,NA,NA,3759,2016
Theft,1866,1864,1863,1636,1566,1931,1846,2060,1859,2050,NA,NA,18541,2016
Riots,774,820,1002,809,1372,1293,947,1017,759,922,NA,NA,9715,2016
Kidnapping,581,585,590,599,638,702,644,703,639,586,NA,NA,6267,2016
Kid. for Ransom,6,2,4,1,3,4,2,3,0,5,NA,NA,30,2016
Rape,64,88,94,61,79,95,90,103,106,89,NA,NA,869,2016
Road Dacoity,14,15,8,12,10,23,8,23,14,15,NA,NA,142,2016
Road Robbery,100,100,94,73,127,106,103,99,95,98,NA,NA,995,2016
Bank Dacoity,1,1,1,1,1,2,0,0,1,0,NA,NA,8,2016
Bank Robbery,1,0,0,0,0,0,0,1,0,0,NA,NA,2,2016